track_id,report_id,score,sub_idx
0,44,0.22981765866279602,34
7,87,0.27525606751441956,281
13,104,0.28094762563705444,511
18,118,0.2759225368499756,734
36,13,0.2716785967350006,1430
38,75,0.2773416042327881,1518
47,32,0.25575581192970276,1837
50,97,0.2899334132671356,1985
55,17,0.2996223270893097,2150
65,97,0.24966062605381012,2549
71,44,0.2396811991930008,2779
74,17,0.29973211884498596,2886
93,44,0.29615604877471924,3652
99,44,0.27449941635131836,3870
100,21,0.275234192609787,3922
101,149,0.29925087094306946,3968
103,97,0.289900004863739,4017
107,116,0.2973037362098694,4197
110,43,0.2982686161994934,4290
114,138,0.2943139374256134,4462
116,24,0.2847461700439453,4559
117,120,0.24455749988555908,4563
121,22,0.2682717740535736,4753
126,176,0.22778019309043884,4926
131,147,0.2973213791847229,5144
134,118,0.28024399280548096,5258
137,180,0.2601376473903656,5349
139,105,0.2926771640777588,5444
140,164,0.21754422783851624,5487
148,198,0.299999475479126,5776
154,89,0.2993003726005554,6020
156,152,0.27552738785743713,6110
164,17,0.23681363463401794,6396
165,78,0.2987616956233978,6458
166,198,0.2477836012840271,6474
172,136,0.26127198338508606,6737
173,0,0.216131329536438,6758
182,97,0.2862825393676758,7130
185,97,0.24813312292099,7245
186,152,0.26758792996406555,7279
188,1,0.27714231610298157,7332
200,28,0.28936463594436646,7838
204,42,0.2727329432964325,7956
210,13,0.21116796135902405,8225
211,10,0.26778119802474976,8242
221,75,0.28598925471305847,8626
225,26,0.23017825186252594,8781
234,136,0.23042607307434082,9161
237,104,0.27273643016815186,9279
242,152,0.24067065119743347,9449
248,152,0.2819288372993469,9708
253,40,0.2607588768005371,9892
255,44,0.278856486082077,9946
257,13,0.2802753448486328,10042
258,138,0.26735571026802063,10089
259,176,0.24223746359348297,10131
261,138,0.2740771770477295,10188
267,5,0.2986152172088623,10449
273,79,0.28630170226097107,10668
274,136,0.24570544064044952,10718
275,114,0.28935033082962036,10729
276,180,0.2965032458305359,10785
283,51,0.29101991653442383,11037
287,105,0.25550854206085205,11219
295,79,0.28716376423835754,11531
296,97,0.2655368149280548,11573
297,177,0.2790378928184509,11591
302,17,0.2914435863494873,11795
304,177,0.21888810396194458,11869
305,180,0.275581032037735,11896
306,40,0.23115605115890503,11971
315,17,0.22915039956569672,12286
326,20,0.2595016062259674,12728
341,138,0.2489093691110611,13320
348,124,0.25440412759780884,13593
349,32,0.29355907440185547,13622
350,79,0.28889790177345276,13660
355,97,0.29580456018447876,13861
357,164,0.2656440734863281,13931
358,138,0.28299835324287415,13978
362,138,0.23310264945030212,14128
363,138,0.25335222482681274,14191
364,36,0.25142547488212585,14229
368,138,0.27381205558776855,14380
371,114,0.2647538185119629,14497
374,59,0.23330047726631165,14600
375,180,0.24719417095184326,14637
387,180,0.2970387041568756,15125
388,81,0.2607521116733551,15170
398,97,0.26318359375,15556
400,100,0.28738847374916077,15635
401,97,0.2834004759788513,15653
402,149,0.2704489827156067,15703
408,193,0.28470125794410706,15914
415,164,0.26597145199775696,16223
418,177,0.26588696241378784,16340
421,180,0.27362915873527527,16427
427,17,0.2739797532558441,16655
433,17,0.2869197726249695,16887
440,104,0.26994290947914124,17193
445,128,0.2343398928642273,17387
448,138,0.2191239297389984,17483
449,97,0.2919086813926697,17517
455,124,0.28381386399269104,17779
462,97,0.2886299788951874,18053
464,136,0.2541368007659912,18104
466,149,0.29883551597595215,18183
468,114,0.27862489223480225,18284
476,149,0.29273122549057007,18588
478,0,0.24309861660003662,18667
479,136,0.2993659973144531,18717
485,122,0.29127973318099976,18938
489,38,0.25327068567276,19089
492,138,0.290363073348999,19196
494,73,0.2574501931667328,19286
