report_id,rank,track_id,score,sub_idx
0,1,478,0.08019638806581497,18655
0,2,478,0.08090527355670929,18662
0,3,478,0.08278383314609528,18660
0,4,478,0.0845290869474411,18668
0,5,320,0.08506891131401062,12506
1,1,98,0.05480290949344635,3832
1,2,336,0.054957132786512375,13106
1,3,98,0.05533866211771965,3837
1,4,98,0.055400021374225616,3836
1,5,336,0.055532198399305344,13115
2,1,351,0.06049615517258644,13705
2,2,351,0.06163330003619194,13713
2,3,351,0.06362850219011307,13712
2,4,351,0.0651489645242691,13720
2,5,351,0.06535175442695618,13725
3,1,410,0.07588651031255722,15990
3,2,410,0.07792752981185913,15999
3,3,410,0.07940953224897385,15991
3,4,150,0.08174993097782135,5886
3,5,150,0.08437416702508926,5882
4,1,114,0.058429744094610214,4478
4,2,114,0.059065885841846466,4471
4,3,114,0.0602666474878788,4472
4,4,114,0.06199537590146065,4475
4,5,114,0.062206532806158066,4470
5,1,418,0.09470516443252563,16313
5,2,418,0.1010919064283371,16314
5,3,418,0.10246811807155609,16304
5,4,418,0.10247451812028885,16322
5,5,418,0.10393454134464264,16321
6,1,165,0.10425833612680435,6456
6,2,165,0.10609757155179977,6463
6,3,165,0.10878704488277435,6448
6,4,165,0.11168412864208221,6470
6,5,165,0.11239593476057053,6455
7,1,496,0.10294342041015625,19359
7,2,496,0.10422088205814362,19356
7,3,496,0.10510984063148499,19347
7,4,496,0.10561925172805786,19351
7,5,496,0.1063360646367073,19367
8,1,106,0.06564069539308548,4161
8,2,106,0.06664010882377625,4155
8,3,106,0.06717772036790848,4154
8,4,106,0.06825379282236099,4151
8,5,106,0.06995555758476257,4162
9,1,114,0.04499214142560959,4446
9,2,114,0.049591805785894394,4455
9,3,114,0.04981904849410057,4451
9,4,114,0.05050171539187431,4456
9,5,114,0.051918212324380875,4447
10,1,397,0.10117147117853165,15491
10,2,397,0.10230453312397003,15499
10,3,397,0.10491572320461273,15483
10,4,397,0.10748012363910675,15492
10,5,211,0.10807959735393524,8256
11,1,157,0.06789655983448029,6124
11,2,157,0.06887795031070709,6130
11,3,157,0.07147151976823807,6133
11,4,157,0.07348714023828506,6128
11,5,157,0.07493844628334045,6137
12,1,142,0.06118243932723999,5540
12,2,404,0.06397043168544769,15756
12,3,105,0.06656627357006073,4098
12,4,404,0.06704627722501755,15765
12,5,105,0.07183835655450821,4103
13,1,249,0.04868876561522484,9716
13,2,249,0.05052708461880684,9713
13,3,249,0.05113158002495766,9722
13,4,249,0.05262688919901848,9729
13,5,249,0.05440009757876396,9725
14,1,206,0.049187518656253815,8035
14,2,206,0.050344496965408325,8044
14,3,206,0.05096695199608803,8052
14,4,206,0.051949772983789444,8051
14,5,206,0.05271628871560097,8034
15,1,149,0.06640625,5848
15,2,149,0.06670402735471725,5849
15,3,149,0.0673111230134964,5841
15,4,149,0.06807891279459,5835
15,5,149,0.0681646540760994,5842
16,1,30,0.07752300798892975,1179
16,2,30,0.08278563618659973,1170
16,3,30,0.08535779267549515,1172
16,4,30,0.08558165282011032,1181
16,5,30,0.08594720810651779,1180
17,1,471,0.05091020092368126,18373
17,2,471,0.05139841511845589,18382
17,3,471,0.058508239686489105,18389
17,4,471,0.0588546022772789,18397
17,5,471,0.0591314435005188,18372
18,1,308,0.09007366746664047,12031
18,2,308,0.09111451357603073,12023
18,3,308,0.09129292517900467,12022
18,4,308,0.09151073545217514,12014
18,5,308,0.0921054258942604,12030
19,1,337,0.09781786054372787,13157
19,2,337,0.09839139878749847,13148
19,3,337,0.09916438162326813,13152
19,4,337,0.09918872267007828,13153
19,5,337,0.10258090496063232,13158
20,1,46,0.08685746788978577,1799
20,2,14,0.09232067316770554,549
20,3,14,0.09240391850471497,548
20,4,46,0.09535996615886688,1807
20,5,46,0.09538684040307999,1798
21,1,253,0.059190887957811356,9890
21,2,253,0.06158347427845001,9889
21,3,253,0.06166810542345047,9888
21,4,253,0.06413653492927551,9885
21,5,253,0.06581299751996994,9886
22,1,121,0.0627683624625206,4724
22,2,121,0.06436706334352493,4733
22,3,121,0.06768641620874405,4723
22,4,121,0.06836634874343872,4732
22,5,121,0.06883293390274048,4719
23,1,413,0.06911810487508774,16120
23,2,413,0.07187360525131226,16136
23,3,413,0.07265470921993256,16135
23,4,413,0.07351430505514145,16111
23,5,413,0.07453649491071701,16128
24,1,277,0.0985560342669487,10835
