report_id,rank,track_id,score,sub_idx
0,1,478,0.18440860509872437,18667
0,2,173,0.185346320271492,6767
0,3,478,0.1884155124425888,18669
0,4,478,0.1907702386379242,18659
0,5,173,0.19179806113243103,6776
1,1,336,0.14981842041015625,13112
1,2,336,0.16116036474704742,13120
1,3,336,0.1620696634054184,13111
1,4,227,0.1671391725540161,8858
1,5,336,0.1681806445121765,13128
2,1,351,0.14285898208618164,13726
2,2,283,0.14465944468975067,11037
2,3,283,0.14470414817333221,11046
2,4,283,0.14493216574192047,11054
2,5,283,0.14497266709804535,11039
3,1,489,0.09825985133647919,19083
3,2,489,0.1023726761341095,19082
3,3,489,0.10338108986616135,19091
3,4,489,0.10536132007837296,19074
3,5,489,0.10917209088802338,19075
4,1,458,0.13535940647125244,17871
4,2,358,0.1367100328207016,13965
4,3,358,0.13861770927906036,13964
4,4,358,0.13974785804748535,13974
4,5,358,0.14199332892894745,13967
5,1,51,0.24034996330738068,2026
5,2,51,0.24097706377506256,2003
5,3,51,0.24437890946865082,2019
5,4,51,0.246177539229393,1994
5,5,297,0.25318241119384766,11591
6,1,186,0.15215975046157837,7258
6,2,186,0.1562267243862152,7273
6,3,186,0.1612733155488968,7272
6,4,186,0.16315609216690063,7256
6,5,186,0.16329814493656158,7257
7,1,480,0.14818069338798523,18748
7,2,480,0.14963489770889282,18750
7,3,480,0.15136443078517914,18749
7,4,480,0.1516425758600235,18742
7,5,480,0.15510329604148865,18740
8,1,106,0.16348965466022491,4141
8,2,106,0.1684754341840744,4150
8,3,106,0.1733800768852234,4164
8,4,106,0.17552879452705383,4156
8,5,106,0.17911504209041595,4165
9,1,458,0.10710068047046661,17863
9,2,458,0.10802250355482101,17862
9,3,458,0.11102119088172913,17871
9,4,458,0.11141107976436615,17864
9,5,458,0.11989964544773102,17872
10,1,211,0.19970256090164185,8242
10,2,211,0.2037566751241684,8258
10,3,211,0.21025341749191284,8249
10,4,211,0.21360337734222412,8240
10,5,211,0.2222692221403122,8250
11,1,157,0.15404190123081207,6149
11,2,157,0.1541440188884735,6141
11,3,157,0.15480729937553406,6152
11,4,157,0.15589578449726105,6145
11,5,157,0.1583840548992157,6153
12,1,105,0.12361209094524384,4102
12,2,105,0.1261933147907257,4111
12,3,105,0.127261683344841,4103
12,4,105,0.1309952735900879,4119
12,5,105,0.13401074707508087,4107
13,1,425,0.15815678238868713,16589
13,2,425,0.15983997285366058,16580
13,3,425,0.16207297146320343,16590
13,4,181,0.1624685674905777,7062
13,5,425,0.16457612812519073,16579
14,1,415,0.10001783072948456,16195
14,2,415,0.10192805528640747,16208
14,3,415,0.10255678743124008,16203
14,4,415,0.1034577414393425,16202
14,5,415,0.10434891283512115,16194
15,1,338,0.10389954596757889,13190
15,2,241,0.13158409297466278,9406
15,3,241,0.13543644547462463,9408
15,4,241,0.13564927875995636,9407
15,5,241,0.13736571371555328,9402
16,1,30,0.11730620265007019,1206
16,2,30,0.11769679933786392,1207
16,3,30,0.119272880256176,1200
16,4,30,0.12075141817331314,1199
16,5,30,0.12226912379264832,1192
17,1,164,0.12344489991664886,6428
17,2,55,0.12774552404880524,2179
17,3,55,0.12793365120887756,2178
17,4,55,0.1299915313720703,2172
17,5,164,0.13188068568706512,6421
18,1,498,0.12139756232500076,19460
18,2,95,0.12318799644708633,3723
18,3,498,0.12431960552930832,19454
18,4,95,0.1250581592321396,3724
18,5,95,0.12646909058094025,3727
19,1,337,0.19854247570037842,13151
19,2,337,0.2063353806734085,13150
19,3,337,0.20674198865890503,13146
19,4,337,0.21141958236694336,13159
19,5,337,0.2258494794368744,13155
20,1,474,0.15822309255599976,18524
20,2,474,0.1600363701581955,18517
20,3,474,0.16299490630626678,18510
20,4,474,0.16473540663719177,18509
20,5,474,0.16812020540237427,18520
21,1,253,0.15453271567821503,9885
21,2,253,0.16136384010314941,9893
21,3,253,0.16575799882411957,9892
21,4,253,0.16915616393089294,9887
21,5,253,0.17040316760540009,9888
22,1,181,0.159138485789299,7071
22,2,249,0.16347143054008484,9723
22,3,249,0.163704976439476,9724
22,4,181,0.16418561339378357,7094
22,5,181,0.16504375636577606,7091
23,1,413,0.14479124546051025,16120
23,2,413,0.1519225686788559,16115
23,3,10,0.15247046947479248,401
23,4,305,0.15295054018497467,11911
23,5,305,0.15298424661159515,11903
24,1,277,0.14117789268493652,10817
24,2,277,0.14186565577983856,10808
24,3,277,0.1507953256368637,10809
24,4,277,0.15348155796527863,10825
24,5,277,0.15474587678909302,10818
25,1,343,0.1767161637544632,13381
25,2,343,0.17796963453292847,13385
25,3,343,0.18024027347564697,13384
25,4,15,0.1830289512872696,603
25,5,343,0.18512332439422607,13401
26,1,256,0.16029351949691772,10006
26,2,256,0.16109322011470795,9990
26,3,256,0.16138119995594025,9989
26,4,256,0.16222809255123138,9998
26,5,256,0.16308045387268066,9999
27,1,102,0.19223031401634216,4011
27,2,102,0.19231277704238892,4012
27,3,102,0.19300563633441925,4004
27,4,102,0.19443391263484955,4003
27,5,102,0.1955147236585617,4010
28,1,367,0.13495875895023346,14322
28,2,367,0.14260028302669525,14330
28,3,367,0.142716646194458,14323
28,4,367,0.1460714042186737,14314
28,5,367,0.1483704298734665,14313
29,1,298,0.23937425017356873,11626
29,2,298,0.2409319132566452,11630
29,3,298,0.2510124146938324,11625
29,4,94,0.2547973394393921,3674
29,5,298,0.2560143768787384,11635
30,1,19,0.12212059646844864,743
30,2,19,0.1239926740527153,756
30,3,19,0.12560507655143738,747
30,4,413,0.12581630051136017,16124
30,5,19,0.12592262029647827,751
31,1,153,0.11683806031942368,5985
31,2,153,0.11709998548030853,5977
31,3,153,0.1171875,5968
31,4,153,0.11943019181489944,5980
31,5,153,0.11952372640371323,5971
32,1,150,0.1736718714237213,5870
