report_id,rank,track_id,score,sub_idx
0,1,261,0.22984617948532104,10187
0,2,355,0.2471260279417038,13845
0,3,478,0.2642749845981598,18665
0,4,478,0.26464608311653137,18656
0,5,173,0.26894980669021606,6763
1,1,425,0.13280127942562103,16609
1,2,425,0.13579179346561432,16601
1,3,425,0.14752134680747986,16608
1,4,425,0.15217679738998413,16607
1,5,425,0.15434998273849487,16600
2,1,1,0.15898410975933075,39
2,2,1,0.16328756511211395,40
2,3,215,0.1641598343849182,8391
2,4,215,0.1670139580965042,8386
2,5,153,0.170679971575737,5967
3,1,1,0.17375782132148743,39
3,2,215,0.17975184321403503,8387
3,3,215,0.17989502847194672,8407
3,4,1,0.18261228501796722,40
3,5,153,0.18664419651031494,5967
4,1,341,0.19811873137950897,13307
4,2,238,0.20821459591388702,9306
4,3,238,0.21930325031280518,9313
4,4,362,0.23365138471126556,14133
4,5,238,0.2371104508638382,9320
5,1,25,0.19041310250759125,998
5,2,364,0.19122493267059326,14219
5,3,364,0.19500188529491425,14227
5,4,343,0.19550924003124237,13394
5,5,68,0.1977679282426834,2682
6,1,108,0.18240457773208618,4236
6,2,486,0.1884843111038208,18989
6,3,392,0.19512228667736053,15291
6,4,58,0.20408768951892853,2281
6,5,486,0.2051924616098404,18982
7,1,337,0.13870109617710114,13177
7,2,193,0.13895656168460846,7552
7,3,254,0.14363479614257812,9943
7,4,252,0.14986097812652588,9849
7,5,254,0.15353941917419434,9944
8,1,459,0.1710675060749054,17906
8,2,225,0.21139363944530487,8775
8,3,459,0.21773730218410492,17907
8,4,161,0.2184617966413498,6279
8,5,70,0.22682543098926544,2763
9,1,341,0.20008154213428497,13307
9,2,238,0.22275179624557495,9306
9,3,448,0.23233941197395325,17472
9,4,238,0.23818667232990265,9314
9,5,135,0.24236340820789337,5267
10,1,426,0.21092195808887482,16641
10,2,426,0.23202352225780487,16617
10,3,426,0.23323136568069458,16621
10,4,426,0.23637528717517853,16633
10,5,20,0.23744404315948486,818
11,1,142,0.1581123024225235,5564
11,2,187,0.16805744171142578,7320
11,3,142,0.16940756142139435,5568
11,4,105,0.16948775947093964,4123
11,5,142,0.17180944979190826,5557
12,1,105,0.12820196151733398,4115
12,2,105,0.13348086178302765,4123
12,3,142,0.13452081382274628,5572
12,4,142,0.14143814146518707,5571
12,5,142,0.14370283484458923,5565
13,1,68,0.16624362766742706,2689
13,2,367,0.167145237326622,14343
13,3,425,0.1695369929075241,16595
13,4,68,0.1723698526620865,2681
13,5,68,0.17297513782978058,2680
14,1,427,0.18093521893024445,16677
14,2,406,0.18348073959350586,15871
14,3,471,0.1973133534193039,18404
14,4,442,0.20835654437541962,17240
14,5,227,0.2109595388174057,8890
