track_id,report_id,score,sub_idx
0,110,0.29351431131362915,13
1,82,0.2791382670402527,61
2,167,0.293452650308609,94
8,82,0.25384286046028137,320
9,112,0.2622511386871338,371
10,82,0.2544032037258148,419
11,167,0.2772463858127594,437
12,185,0.26782169938087463,491
13,185,0.26605886220932007,529
14,112,0.2392231822013855,561
15,163,0.29444968700408936,585
16,195,0.10700435936450958,651
17,195,0.10019288957118988,694
19,195,0.1230367049574852,742
21,195,0.23942863941192627,853
22,32,0.22952881455421448,863
24,32,0.2504856586456299,943
26,82,0.27347978949546814,1022
27,158,0.22998979687690735,1058
29,32,0.22796748578548431,1154
30,70,0.1306549310684204,1191
31,103,0.25841960310935974,1211
33,82,0.2093314826488495,1302
34,110,0.296808123588562,1355
36,70,0.167296901345253,1422
38,152,0.193821981549263,1501
40,112,0.2749120891094208,1572
42,152,0.24342449009418488,1641
43,70,0.16942867636680603,1680
44,152,0.17492210865020752,1721
45,132,0.25464463233947754,1758
46,82,0.2665400803089142,1810
49,195,0.1197165697813034,1943
51,82,0.2189086526632309,2015
52,185,0.2818562090396881,2029
53,195,0.09423828125,2083
55,82,0.29013171792030334,2149
56,26,0.2220945805311203,2194
58,195,0.10154342651367188,2287
59,195,0.239707812666893,2307
60,112,0.24737964570522308,2350
62,112,0.24728180468082428,2434
64,103,0.25056275725364685,2505
65,195,0.18161864578723907,2573
66,32,0.22534166276454926,2578
67,195,0.10544218122959137,2626
68,158,0.19692449271678925,2661
69,103,0.2989662289619446,2705
72,171,0.2798233926296234,2821
73,103,0.2894424796104431,2862
75,82,0.2386973798274994,2925
76,32,0.2373562902212143,2997
77,158,0.2832362651824951,3007
78,195,0.167594313621521,3067
82,195,0.12156781554222107,3198
84,70,0.13216307759284973,3299
85,82,0.275849848985672,3315
86,163,0.27783116698265076,3369
87,185,0.28860995173454285,3395
89,103,0.2624272108078003,3480
90,82,0.21897359192371368,3515
91,195,0.21598994731903076,3562
94,195,0.21377018094062805,3674
95,70,0.17930014431476593,3735
96,112,0.27342355251312256,3751
97,32,0.2691654562950134,3815
99,152,0.17727451026439667,3896
100,70,0.2293442189693451,3919
102,158,0.22186943888664246,3987
104,112,0.2625825107097626,4056
107,185,0.27628037333488464,4187
110,195,0.12549160420894623,4307
111,185,0.2719939053058624,4341
112,171,0.25666913390159607,4374
114,158,0.27679991722106934,4454
116,103,0.2576681971549988,4529
117,82,0.2335681915283203,4571
118,26,0.23153117299079895,4617
119,82,0.22403863072395325,4677
120,185,0.2789302170276642,4696
121,28,0.2928653955459595,4719
123,163,0.273987352848053,4807
126,82,0.21991027891635895,4941
127,158,0.2762925624847412,4967
128,82,0.2439780980348587,5004
129,70,0.24136558175086975,5068
131,26,0.2990601062774658,5138
132,82,0.2120273858308792,5174
133,103,0.2659763991832733,5194
134,195,0.0993904247879982,5242
135,103,0.2756974697113037,5270
137,26,0.2776251435279846,5349
141,103,0.28780317306518555,5507
144,103,0.258428692817688,5625
145,163,0.2949099540710449,5669
147,103,0.2857321500778198,5742
148,195,0.09868235141038895,5779
149,70,0.1685166358947754,5843
150,167,0.273248553276062,5866
151,103,0.26213178038597107,5891
154,70,0.13898593187332153,6014
157,158,0.20222066342830658,6130
158,82,0.27192169427871704,6199
159,195,0.13275639712810516,6239
161,171,0.29046711325645447,6282
162,82,0.24067337810993195,6337
164,103,0.2676536440849304,6428
165,171,0.2413409948348999,6441
166,112,0.29482120275497437,6491
168,82,0.2150561660528183,6583
170,195,0.1171366274356842,6631
