track_id,report_id,score,sub_idx
0,24,0.2738117277622223,17
1,193,0.4568515717983246,45
2,167,0.3496277928352356,85
3,129,0.38418692350387573,121
4,24,0.2790660858154297,162
5,184,0.2666310667991638,233
6,112,0.357436865568161,243
7,24,0.2615916430950165,291
8,193,0.46556803584098816,316
9,163,0.3058915436267853,357
10,82,0.32211410999298096,421
11,185,0.3337686359882355,451
12,168,0.1848670244216919,483
13,168,0.19681884348392487,523
14,112,0.29578661918640137,555
15,184,0.20889224112033844,607
16,177,0.4087425172328949,652
17,177,0.32998520135879517,670
18,1,0.25692757964134216,736
19,197,0.34814348816871643,776
20,168,0.36891093850135803,793
21,145,0.5165495872497559,826
22,171,0.482801228761673,887
23,55,0.296022891998291,904
24,171,0.46939170360565186,938
25,109,0.28333231806755066,977
26,40,0.3921932876110077,1016
27,128,0.3952777683734894,1063
28,129,0.325027197599411,1128
29,107,0.483047217130661,1154
30,197,0.2692440450191498,1172
31,170,0.25727567076683044,1225
32,24,0.3541335165500641,1257
33,193,0.4369894862174988,1290
34,117,0.3033256530761719,1351
35,45,0.2898527979850769,1382
36,78,0.3651217520236969,1422
37,134,0.2946106791496277,1481
38,74,0.231155663728714,1487
39,129,0.23268675804138184,1525
40,2,0.3407323360443115,1563
41,178,0.2974646985530853,1632
42,43,0.38099613785743713,1660
43,194,0.3296446204185486,1681
44,32,0.43750476837158203,1749
45,132,0.2883531153202057,1775
46,89,0.4166640043258667,1802
47,168,0.2747841477394104,1867
48,28,0.3168931305408478,1900
49,91,0.32721275091171265,1915
50,109,0.2872864007949829,1965
51,193,0.3892430067062378,1996
52,188,0.3208073675632477,2047
53,177,0.4337477684020996,2089
54,163,0.2585369646549225,2112
55,85,0.40955331921577454,2180
56,26,0.2325890213251114,2221
57,101,0.3473910987377167,2226
58,154,0.30948057770729065,2297
59,145,0.4908360242843628,2306
60,163,0.3148995637893677,2341
61,178,0.32578980922698975,2393
62,112,0.19767357409000397,2449
63,19,0.3760204017162323,2488
64,124,0.2613905966281891,2501
65,20,0.480630099773407,2535
66,171,0.3911401033401489,2592
67,50,0.34901249408721924,2639
68,158,0.1878131777048111,2663
69,170,0.2778106927871704,2697
70,168,0.3691008985042572,2738
71,45,0.2202918380498886,2793
72,171,0.41366010904312134,2815
73,134,0.3420102596282959,2856
74,168,0.24248793721199036,2921
75,193,0.3944169282913208,2930
76,171,0.4506451189517975,2976
